7.1053 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239DB7F8A00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239DB7F89A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000239DB7F86D0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000239E1BCB520>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
12.1548 	EXP 	image_r: autoDraw = True
12.2050 	DATA 	Mouse:  Left button up, pos=(1211,597)
13.0050 	DATA 	Mouse: Left button down, pos=(1211,597)
13.0061 	EXP 	New trial (rep=3, index=0): None
13.0548 	EXP 	image_l: autoDraw = False
13.0548 	EXP 	image_r: autoDraw = False
13.0548 	EXP 	image_l: image = 'stimuli/fractal_left.png'
13.0548 	EXP 	image_r: image = 'stimuli/fractal_right.png'
13.0548 	EXP 	image_l: autoDraw = True
13.0548 	EXP 	image_r: autoDraw = True
13.1049 	DATA 	Mouse:  Left button up, pos=(1211,597)
14.0719 	DATA 	Mouse: Left button down, pos=(1211,597)
14.0730 	EXP 	New trial (rep=4, index=0): None
14.1214 	EXP 	image_l: autoDraw = False
14.1214 	EXP 	image_r: autoDraw = False
14.1214 	EXP 	image_l: image = 'stimuli/fractal_left.png'
14.1214 	EXP 	image_r: image = 'stimuli/fractal_right.png'
14.1214 	EXP 	image_l: autoDraw = True
14.1214 	EXP 	image_r: autoDraw = True
14.1217 	DATA 	Mouse:  Left button up, pos=(1211,597)
15.1414 	DATA 	Mouse: Left button down, pos=(1211,597)
15.1425 	EXP 	New trial (rep=5, index=0): None
15.1881 	EXP 	image_l: autoDraw = False
15.1881 	EXP 	image_r: autoDraw = False
15.1881 	EXP 	image_l: image = 'stimuli/fractal_left.png'
15.1881 	EXP 	image_r: image = 'stimuli/fractal_right.png'
15.1881 	EXP 	image_l: autoDraw = True
15.1881 	EXP 	image_r: autoDraw = True
15.2216 	DATA 	Mouse:  Left button up, pos=(1211,597)
16.0050 	DATA 	Mouse: Left button down, pos=(828,599)
16.0060 	EXP 	New trial (rep=6, index=0): None
16.0548 	EXP 	image_l: autoDraw = False
16.0548 	EXP 	image_r: autoDraw = False
16.0548 	EXP 	image_l: image = 'stimuli/fractal_left.png'
16.0548 	EXP 	image_r: image = 'stimuli/fractal_right.png'
16.0548 	EXP 	image_l: autoDraw = True
16.0548 	EXP 	image_r: autoDraw = True
16.0883 	DATA 	Mouse:  Left button up, pos=(828,599)
16.9383 	DATA 	Mouse: Left button down, pos=(1180,574)
16.9393 	EXP 	New trial (rep=7, index=0): None
16.9881 	EXP 	image_l: autoDraw = False
16.9881 	EXP 	image_r: autoDraw = False
16.9881 	EXP 	image_l: image = 'stimuli/fractal_left.png'
16.9881 	EXP 	image_r: image = 'stimuli/fractal_right.png'
16.9881 	EXP 	image_l: autoDraw = True
16.9881 	EXP 	image_r: autoDraw = True
17.0383 	DATA 	Mouse:  Left button up, pos=(1180,574)
17.8883 	DATA 	Mouse: Left button down, pos=(1161,580)
17.8892 	EXP 	New trial (rep=8, index=0): None
17.9381 	EXP 	image_l: autoDraw = False
17.9381 	EXP 	image_r: autoDraw = False
17.9381 	EXP 	image_l: image = 'stimuli/fractal_left.png'
17.9381 	EXP 	image_r: image = 'stimuli/fractal_right.png'
17.9381 	EXP 	image_l: autoDraw = True
17.9381 	EXP 	image_r: autoDraw = True
17.9716 	DATA 	Mouse:  Left button up, pos=(1161,580)
18.9049 	DATA 	Mouse: Left button down, pos=(1182,568)
18.9059 	EXP 	New trial (rep=9, index=0): None
18.9547 	EXP 	image_l: autoDraw = False
18.9547 	EXP 	image_r: autoDraw = False
18.9547 	EXP 	image_l: image = 'stimuli/fractal_left.png'
18.9547 	EXP 	image_r: image = 'stimuli/fractal_right.png'
18.9547 	EXP 	image_l: autoDraw = True
18.9547 	EXP 	image_r: autoDraw = True
18.9549 	DATA 	Mouse:  Left button up, pos=(1182,568)
19.8882 	DATA 	Mouse: Left button down, pos=(1200,561)
19.8893 	EXP 	New trial (rep=10, index=0): None
19.9381 	EXP 	image_l: autoDraw = False
19.9381 	EXP 	image_r: autoDraw = False
19.9381 	EXP 	image_l: image = 'stimuli/fractal_left.png'
19.9381 	EXP 	image_r: image = 'stimuli/fractal_right.png'
19.9381 	EXP 	image_l: autoDraw = True
19.9381 	EXP 	image_r: autoDraw = True
19.9383 	DATA 	Mouse:  Left button up, pos=(1200,561)
21.0050 	DATA 	Mouse: Left button down, pos=(1195,572)
21.0060 	EXP 	New trial (rep=11, index=0): None
21.0548 	EXP 	image_l: autoDraw = False
21.0548 	EXP 	image_r: autoDraw = False
21.0548 	EXP 	image_l: image = 'stimuli/fractal_left.png'
21.0548 	EXP 	image_r: image = 'stimuli/fractal_right.png'
21.0548 	EXP 	image_l: autoDraw = True
21.0548 	EXP 	image_r: autoDraw = True
21.0559 	DATA 	Mouse:  Left button up, pos=(1195,572)
22.1053 	DATA 	Mouse: Left button down, pos=(1195,572)
22.1223 	EXP 	New trial (rep=12, index=0): None
22.1714 	EXP 	image_l: autoDraw = False
22.1714 	EXP 	image_r: autoDraw = False
22.1714 	EXP 	image_l: image = 'stimuli/fractal_left.png'
22.1714 	EXP 	image_r: image = 'stimuli/fractal_right.png'
22.1714 	EXP 	image_l: autoDraw = True
22.1714 	EXP 	image_r: autoDraw = True
22.1882 	DATA 	Mouse:  Left button up, pos=(1195,572)
23.6049 	DATA 	Mouse: Left button down, pos=(1195,572)
23.6059 	EXP 	New trial (rep=13, index=0): None
23.6547 	EXP 	image_l: autoDraw = False
23.6547 	EXP 	image_r: autoDraw = False
23.6547 	EXP 	image_l: image = 'stimuli/fractal_left.png'
23.6547 	EXP 	image_r: image = 'stimuli/fractal_right.png'
23.6547 	EXP 	image_l: autoDraw = True
23.6547 	EXP 	image_r: autoDraw = True
23.6553 	DATA 	Mouse:  Left button up, pos=(1195,572)
24.9549 	DATA 	Mouse: Left button down, pos=(1195,572)
24.9559 	EXP 	New trial (rep=14, index=0): None
25.0047 	EXP 	image_l: autoDraw = False
25.0047 	EXP 	image_r: autoDraw = False
25.0047 	EXP 	image_l: image = 'stimuli/fractal_left.png'
25.0047 	EXP 	image_r: image = 'stimuli/fractal_right.png'
25.0047 	EXP 	image_l: autoDraw = True
25.0047 	EXP 	image_r: autoDraw = True
25.0215 	DATA 	Mouse:  Left button up, pos=(1195,572)
26.0549 	DATA 	Mouse: Left button down, pos=(1195,572)
26.0559 	EXP 	New trial (rep=15, index=0): None
26.1046 	EXP 	image_l: autoDraw = False
26.1046 	EXP 	image_r: autoDraw = False
26.1046 	EXP 	image_l: image = 'stimuli/fractal_left.png'
26.1046 	EXP 	image_r: image = 'stimuli/fractal_right.png'
26.1046 	EXP 	image_l: autoDraw = True
26.1046 	EXP 	image_r: autoDraw = True
26.1049 	DATA 	Mouse:  Left button up, pos=(1195,572)
28.3215 	DATA 	Mouse: Left button down, pos=(1195,572)
28.3226 	EXP 	New trial (rep=16, index=0): None
28.3713 	EXP 	image_l: autoDraw = False
28.3713 	EXP 	image_r: autoDraw = False
28.3713 	EXP 	image_l: image = 'stimuli/fractal_left.png'
28.3713 	EXP 	image_r: image = 'stimuli/fractal_right.png'
28.3713 	EXP 	image_l: autoDraw = True
28.3713 	EXP 	image_r: autoDraw = True
28.3881 	DATA 	Mouse:  Left button up, pos=(1195,572)
30.0215 	DATA 	Mouse: Left button down, pos=(1195,572)
30.0225 	EXP 	New trial (rep=17, index=0): None
30.0713 	EXP 	image_l: autoDraw = False
30.0713 	EXP 	image_r: autoDraw = False
30.0713 	EXP 	image_l: image = 'stimuli/fractal_left.png'
30.0713 	EXP 	image_r: image = 'stimuli/fractal_right.png'
30.0713 	EXP 	image_l: autoDraw = True
30.0713 	EXP 	image_r: autoDraw = True
30.0716 	DATA 	Mouse:  Left button up, pos=(1195,572)
31.5215 	DATA 	Mouse: Left button down, pos=(1178,591)
31.5225 	EXP 	New trial (rep=18, index=0): None
31.5713 	EXP 	image_l: autoDraw = False
31.5713 	EXP 	image_r: autoDraw = False
31.5713 	EXP 	image_l: image = 'stimuli/fractal_left.png'
31.5713 	EXP 	image_r: image = 'stimuli/fractal_right.png'
31.5713 	EXP 	image_l: autoDraw = True
31.5713 	EXP 	image_r: autoDraw = True
31.6048 	DATA 	Mouse:  Left button up, pos=(1178,591)
32.5382 	DATA 	Mouse: Left button down, pos=(749,602)
32.5392 	EXP 	New trial (rep=19, index=0): None
32.5880 	EXP 	image_l: autoDraw = False
32.5880 	EXP 	image_r: autoDraw = False
32.5880 	EXP 	image_l: image = 'stimuli/fractal_left.png'
32.5880 	EXP 	image_r: image = 'stimuli/fractal_right.png'
32.5880 	EXP 	image_l: autoDraw = True
32.5880 	EXP 	image_r: autoDraw = True
32.6221 	DATA 	Mouse:  Left button up, pos=(749,602)
34.8215 	DATA 	Mouse: Left button down, pos=(749,602)
34.8224 	EXP 	New trial (rep=20, index=0): None
34.8498 	DATA 	Mouse:  Left button up, pos=(749,602)
34.8713 	EXP 	image_l: autoDraw = False
34.8713 	EXP 	image_r: autoDraw = False
34.8713 	EXP 	image_l: image = 'stimuli/fractal_left.png'
34.8713 	EXP 	image_r: image = 'stimuli/fractal_right.png'
34.8713 	EXP 	image_l: autoDraw = True
34.8713 	EXP 	image_r: autoDraw = True
35.9881 	DATA 	Mouse: Left button down, pos=(749,602)
35.9891 	EXP 	New trial (rep=21, index=0): None
36.0380 	EXP 	image_l: autoDraw = False
36.0380 	EXP 	image_r: autoDraw = False
36.0380 	EXP 	image_l: image = 'stimuli/fractal_left.png'
36.0380 	EXP 	image_r: image = 'stimuli/fractal_right.png'
36.0380 	EXP 	image_l: autoDraw = True
36.0380 	EXP 	image_r: autoDraw = True
36.0715 	DATA 	Mouse:  Left button up, pos=(749,602)
40.3547 	DATA 	Mouse: Left button down, pos=(749,602)
40.3558 	EXP 	New trial (rep=22, index=0): None
40.4046 	EXP 	image_l: autoDraw = False
40.4046 	EXP 	image_r: autoDraw = False
40.4046 	EXP 	image_l: image = 'stimuli/fractal_left.png'
40.4046 	EXP 	image_r: image = 'stimuli/fractal_right.png'
40.4046 	EXP 	image_l: autoDraw = True
40.4046 	EXP 	image_r: autoDraw = True
40.4381 	DATA 	Mouse:  Left button up, pos=(749,602)
41.6381 	DATA 	Mouse: Left button down, pos=(749,602)
41.6390 	EXP 	New trial (rep=23, index=0): None
41.6879 	EXP 	image_l: autoDraw = False
41.6879 	EXP 	image_r: autoDraw = False
41.6879 	EXP 	image_l: image = 'stimuli/fractal_left.png'
41.6879 	EXP 	image_r: image = 'stimuli/fractal_right.png'
41.6879 	EXP 	image_l: autoDraw = True
41.6879 	EXP 	image_r: autoDraw = True
41.7215 	DATA 	Mouse:  Left button up, pos=(749,602)
44.5383 	DATA 	Keypress: escape
44.8924 	EXP 	window1: mouseVisible = True
